"x","y","node_label","node"
-14.72,9,271,"(6, 17)"
-15.59,9.5,272,"(6, 18)"
-16.45,9,273,"(6, 19)"
-17.32,9.5,274,"(6, 20)"
-18.19,9,275,"(6, 21)"
-19.05,9.5,276,"(6, 22)"
-19.92,9,277,"(6, 23)"
-20.78,9.5,278,"(6, 24)"
-21.65,9,279,"(6, 25)"
-22.52,9.5,280,"(6, 26)"
-23.38,9,281,"(6, 27)"
-24.25,9.5,282,"(6, 28)"
-25.11,9,283,"(6, 29)"
-25.98,9.5,284,"(6, 30)"
-26.85,9,285,"(6, 31)"
-27.71,9.5,286,"(6, 32)"
-28.58,9,287,"(6, 33)"
-29.44,9.5,288,"(6, 34)"
-30.31,9,289,"(6, 35)"
-31.18,9.5,290,"(6, 36)"
-32.04,9,291,"(6, 37)"
-32.91,9.5,292,"(6, 38)"
-33.77,9,293,"(6, 39)"
-34.64,9.5,294,"(6, 40)"
-35.51,9,295,"(6, 41)"
-36.37,9.5,296,"(6, 42)"
-37.24,9,297,"(6, 43)"
-38.11,9.5,298,"(6, 44)"
-38.97,9,299,"(6, 45)"
0,10.5,300,"(7, 0)"
-0.87,11,301,"(7, 1)"
-1.73,10.5,302,"(7, 2)"
-2.6,11,303,"(7, 3)"
-3.46,10.5,304,"(7, 4)"
-4.33,11,305,"(7, 5)"
-5.2,10.5,306,"(7, 6)"
-6.06,11,307,"(7, 7)"
-6.93,10.5,308,"(7, 8)"
-7.79,11,309,"(7, 9)"
-8.66,10.5,310,"(7, 10)"
-9.53,11,311,"(7, 11)"
-10.39,10.5,312,"(7, 12)"
-11.26,11,313,"(7, 13)"
-12.12,10.5,314,"(7, 14)"
-12.99,11,315,"(7, 15)"
-13.86,10.5,316,"(7, 16)"
-14.72,11,317,"(7, 17)"
-15.59,10.5,318,"(7, 18)"
-16.45,11,319,"(7, 19)"
-17.32,10.5,320,"(7, 20)"
-18.19,11,321,"(7, 21)"
-19.05,10.5,322,"(7, 22)"
-19.92,11,323,"(7, 23)"
-20.78,10.5,324,"(7, 24)"
-21.65,11,325,"(7, 25)"
-22.52,10.5,326,"(7, 26)"
-23.38,11,327,"(7, 27)"
-24.25,10.5,328,"(7, 28)"
-25.11,11,329,"(7, 29)"
-25.98,10.5,330,"(7, 30)"
-26.85,11,331,"(7, 31)"
-27.71,10.5,332,"(7, 32)"
-28.58,11,333,"(7, 33)"
-29.44,10.5,334,"(7, 34)"
-30.31,11,335,"(7, 35)"
-31.18,10.5,336,"(7, 36)"
-32.04,11,337,"(7, 37)"
-32.91,10.5,338,"(7, 38)"
-33.77,11,339,"(7, 39)"
-34.64,10.5,340,"(7, 40)"
