X, Y, Z
-760.0,-562.91651246,0.0
-310.0,476.313972081,0.0
240.0,909.326673974,0.0
615.0,-606.217782649,0.0
-235.0,346.410161514,0.0
365.0,86.6025403784,0.0
-610.0,216.506350946,0.0
-385.0,779.422863406,0.0
690.0,-303.108891325,0.0
-910.0,-389.711431703,0.0
-660.0,43.3012701892,0.0
-85.0,519.615242271,0.0
-885.0,692.820323028,0.0
-460.0,389.711431703,0.0
990.0,-476.313972081,0.0
-360.0,-216.506350946,0.0
665.0,173.205080757,0.0
915.0,-173.205080757,0.0
-660.0,303.108891325,0.0
915.0,692.820323028,0.0
-385.0,-433.012701892,0.0
-285.0,-346.410161514,0.0
-210.0,-216.506350946,0.0
240.0,-736.121593217,0.0
315.0,-2.274e-13,0.0
-760.0,-303.108891325,0.0
-210.0,129.903810568,0.0
-885.0,173.205080757,0.0
65.0,519.615242271,0.0
540.0,-476.313972081,0.0
-735.0,-692.820323028,0.0
-10.0,476.313972081,0.0
-435.0,-259.807621135,0.0
-735.0,2.0464e-12,0.0
140.0,43.3012701892,0.0
390.0,-909.326673974,0.0
515.0,866.025403784,0.0
665.0,-346.410161514,0.0
-460.0,303.108891325,0.0
-885.0,86.6025403784,0.0
15.0,-259.807621135,0.0
740.0,-649.519052838,0.0
-735.0,-519.615242271,0.0
290.0,216.506350946,0.0
390.0,43.3012701892,0.0
390.0,-562.91651246,0.0
465.0,-173.205080757,0.0
-960.0,43.3012701892,0.0
-235.0,-433.012701892,0.0
-85.0,-779.422863406,0.0
-435.0,-346.410161514,0.0
-985.0,866.025403784,0.0
240.0,-822.724133595,0.0
890.0,389.711431703,0.0
-760.0,-909.326673974,0.0
315.0,692.820323028,0.0
-435.0,-433.012701892,0.0
-685.0,-779.422863406,0.0
165.0,86.6025403784,0.0
-210.0,822.724133595,0.0
90.0,-216.506350946,0.0
65.0,-173.205080757,0.0
965.0,779.422863406,0.0
215.0,-346.410161514,0.0
690.0,736.121593217,0.0
