"x","y"
"450",716.89,1390
"451",716.89,1440
"452",716.89,1540
"453",716.89,1590
"454",716.89,1690
"455",716.89,1740
"456",716.89,1840
"457",716.89,1890
"458",716.89,1990
"459",760.19,15
"460",760.19,115
"461",760.19,165
"462",760.19,265
"463",760.19,315
"464",760.19,415
"465",760.19,465
"466",760.19,565
"467",760.19,615
"468",760.19,715
"469",760.19,765
"470",760.19,865
"471",760.19,915
"472",760.19,1015
"473",760.19,1065
"474",760.19,1165
"475",760.19,1215
"476",760.19,1315
"477",760.19,1365
"478",760.19,1465
"479",760.19,1515
"480",760.19,1615
"481",760.19,1665
"482",760.19,1765
"483",760.19,1815
"484",760.19,1915
"485",760.19,1965
"486",803.49,40
"487",803.49,90
"488",803.49,190
"489",803.49,240
"490",803.49,340
"491",803.49,390
"492",803.49,490
"493",803.49,540
"494",803.49,640
"495",803.49,690
"496",803.49,790
"497",803.49,840
"498",803.49,940
"499",803.49,990
"500",803.49,1090
"501",803.49,1140
"502",803.49,1240
"503",803.49,1290
"504",803.49,1390
"505",803.49,1440
"506",803.49,1540
"507",803.49,1590
"508",803.49,1690
"509",803.49,1740
"510",803.49,1840
"511",803.49,1890
"512",803.49,1990
"513",846.79,15
"514",846.79,115
"515",846.79,165
"516",846.79,265
"517",846.79,315
"518",846.79,415
"519",846.79,465
"520",846.79,565
"521",846.79,615
"522",846.79,715
"523",846.79,765
"524",846.79,865
"525",846.79,915
"526",846.79,1015
"527",846.79,1065
"528",846.79,1165
"529",846.79,1215
"530",846.79,1315
"531",846.79,1365
"532",846.79,1465
"533",846.79,1515
"534",846.79,1615
"535",846.79,1665
"536",846.79,1765
"537",846.79,1815
"538",846.79,1915
"539",846.79,1965
"540",890.1,40
"541",890.1,90
"542",890.1,190
"543",890.1,240
"544",890.1,340
"545",890.1,390
"546",890.1,490
"547",890.1,540
"548",890.1,640
"549",890.1,690
"550",890.1,790
"551",890.1,840
"552",890.1,940
"553",890.1,990
"554",890.1,1090
"555",890.1,1140
"556",890.1,1240
"557",890.1,1290
"558",890.1,1390
"559",890.1,1440
"560",890.1,1540
"561",890.1,1590
"562",890.1,1690
"563",890.1,1740
"564",890.1,1840
"565",890.1,1890
"566",890.1,1990
"567",933.4,15
"568",933.4,115
"569",933.4,165
"570",933.4,265
"571",933.4,315
"572",933.4,415
"573",933.4,465
"574",933.4,565
"575",933.4,615
"576",933.4,715
"577",933.4,765
"578",933.4,865
"579",933.4,915
"580",933.4,1015
"581",933.4,1065
"582",933.4,1165
"583",933.4,1215
"584",933.4,1315
"585",933.4,1365
"586",933.4,1465
"587",933.4,1515
"588",933.4,1615
"589",933.4,1665
"590",933.4,1765
"591",933.4,1815
"592",933.4,1915
"593",933.4,1965
"594",976.7,40
"595",976.7,90
"596",976.7,190
"597",976.7,240
"598",976.7,340
"599",976.7,390
"600",976.7,490
"601",976.7,540
"602",976.7,640
"603",976.7,690
"604",976.7,790
"605",976.7,840
"606",976.7,940
"607",976.7,990
"608",976.7,1090
"609",976.7,1140
"610",976.7,1240
"611",976.7,1290
"612",976.7,1390
"613",976.7,1440
"614",976.7,1540
"615",976.7,1590
"616",976.7,1690
"617",976.7,1740
"618",976.7,1840
"619",976.7,1890
"620",976.7,1990
"621",1020,15
"622",1020,115
"623",1020,165
"624",1020,265
"625",1020,315
"626",1020,415
"627",1020,465
"628",1020,565
"629",1020,615
"630",1020,715
"631",1020,765
"632",1020,865
"633",1020,915
"634",1020,1015
"635",1020,1065
"636",1020,1165
"637",1020,1215
"638",1020,1315
"639",1020,1365
"640",1020,1465
"641",1020,1515
"642",1020,1615
"643",1020,1665
"644",1020,1765
"645",1020,1815
"646",1020,1915
"647",1020,1965
"648",1063.3,40
"649",1063.3,90
"650",1063.3,190
"651",1063.3,240
"652",1063.3,340
"653",1063.3,390
"654",1063.3,490
"655",1063.3,540
"656",1063.3,640
"657",1063.3,690
"658",1063.3,790
"659",1063.3,840
"660",1063.3,940
"661",1063.3,990
"662",1063.3,1090
"663",1063.3,1140
"664",1063.3,1240
"665",1063.3,1290
"666",1063.3,1390
"667",1063.3,1440
"668",1063.3,1540
"669",1063.3,1590
"670",1063.3,1690
"671",1063.3,1740
"672",1063.3,1840
"673",1063.3,1890
"674",1063.3,1990
"675",1106.6,15
"676",1106.6,115
"677",1106.6,165
"678",1106.6,265
"679",1106.6,315
"680",1106.6,415
"681",1106.6,465
"682",1106.6,565
"683",1106.6,615
"684",1106.6,715
"685",1106.6,765
"686",1106.6,865
"687",1106.6,915
"688",1106.6,1015
"689",1106.6,1065
"690",1106.6,1165
"691",1106.6,1215
"692",1106.6,1315
"693",1106.6,1365
"694",1106.6,1465
"695",1106.6,1515
"696",1106.6,1615
"697",1106.6,1665
"698",1106.6,1765
"699",1106.6,1815
"700",1106.6,1915
"701",1106.6,1965
"702",1149.9,40
"703",1149.9,90
"704",1149.9,190
"705",1149.9,240
"706",1149.9,340
"707",1149.9,390
"708",1149.9,490
"709",1149.9,540
"710",1149.9,640
"711",1149.9,690
"712",1149.9,790
"713",1149.9,840
"714",1149.9,940
"715",1149.9,990
"716",1149.9,1090
"717",1149.9,1140
"718",1149.9,1240
"719",1149.9,1290
"720",1149.9,1390
"721",1149.9,1440
"722",1149.9,1540
"723",1149.9,1590
"724",1149.9,1690
"725",1149.9,1740
"726",1149.9,1840
"727",1149.9,1890
"728",1149.9,1990
"729",1193.21,15
"730",1193.21,115
"731",1193.21,165
"732",1193.21,265
"733",1193.21,315
"734",1193.21,415
"735",1193.21,465
"736",1193.21,565
"737",1193.21,615
"738",1193.21,715
"739",1193.21,765
"740",1193.21,865
"741",1193.21,915
"742",1193.21,1015
"743",1193.21,1065
"744",1193.21,1165
"745",1193.21,1215
"746",1193.21,1315
"747",1193.21,1365
"748",1193.21,1465
"749",1193.21,1515
"750",1193.21,1615
"751",1193.21,1665
"752",1193.21,1765
"753",1193.21,1815
"754",1193.21,1915
"755",1193.21,1965
"756",1236.51,40
"757",1236.51,90
"758",1236.51,190
"759",1236.51,240
"760",1236.51,340
"761",1236.51,390
"762",1236.51,490
"763",1236.51,540
"764",1236.51,640
"765",1236.51,690
"766",1236.51,790
"767",1236.51,840
"768",1236.51,940
"769",1236.51,990
"770",1236.51,1090
"771",1236.51,1140
"772",1236.51,1240
"773",1236.51,1290
"774",1236.51,1390
"775",1236.51,1440
"776",1236.51,1540
"777",1236.51,1590
"778",1236.51,1690
"779",1236.51,1740
"780",1236.51,1840
"781",1236.51,1890
"782",1236.51,1990
"783",1279.81,15
"784",1279.81,115
"785",1279.81,165
"786",1279.81,265
"787",1279.81,315
"788",1279.81,415
"789",1279.81,465
"790",1279.81,565
"791",1279.81,615
"792",1279.81,715
"793",1279.81,765
"794",1279.81,865
"795",1279.81,915
"796",1279.81,1015
"797",1279.81,1065
"798",1279.81,1165
"799",1279.81,1215
"800",1279.81,1315
"801",1279.81,1365
"802",1279.81,1465
"803",1279.81,1515
"804",1279.81,1615
"805",1279.81,1665
"806",1279.81,1765
"807",1279.81,1815
"808",1279.81,1915
"809",1279.81,1965
"810",1323.11,40
"811",1323.11,90
"812",1323.11,190
"813",1323.11,240
"814",1323.11,340
"815",1323.11,390
"816",1323.11,490
"817",1323.11,540
"818",1323.11,640
"819",1323.11,690
"820",1323.11,790
"821",1323.11,840
"822",1323.11,940
"823",1323.11,990
"824",1323.11,1090
"825",1323.11,1140
"826",1323.11,1240
"827",1323.11,1290
"828",1323.11,1390
"829",1323.11,1440
"830",1323.11,1540
"831",1323.11,1590
"832",1323.11,1690
"833",1323.11,1740
"834",1323.11,1840
"835",1323.11,1890
"836",1323.11,1990
"837",1366.41,15
"838",1366.41,115
"839",1366.41,165
"840",1366.41,265
"841",1366.41,315
"842",1366.41,415
"843",1366.41,465
"844",1366.41,565
"845",1366.41,615
"846",1366.41,715
"847",1366.41,765
"848",1366.41,865
"849",1366.41,915
"850",1366.41,1015
"851",1366.41,1065
"852",1366.41,1165
"853",1366.41,1215
"854",1366.41,1315
"855",1366.41,1365
"856",1366.41,1465
"857",1366.41,1515
"858",1366.41,1615
"859",1366.41,1665
"860",1366.41,1765
"861",1366.41,1815
"862",1366.41,1915
"863",1366.41,1965
"864",1409.71,40
"865",1409.71,90
"866",1409.71,190
"867",1409.71,240
"868",1409.71,340
"869",1409.71,390
"870",1409.71,490
"871",1409.71,540
"872",1409.71,640
"873",1409.71,690
"874",1409.71,790
"875",1409.71,840
"876",1409.71,940
"877",1409.71,990
"878",1409.71,1090
"879",1409.71,1140
"880",1409.71,1240
"881",1409.71,1290
"882",1409.71,1390
"883",1409.71,1440
"884",1409.71,1540
"885",1409.71,1590
"886",1409.71,1690
"887",1409.71,1740
"888",1409.71,1840
"889",1409.71,1890
"890",1409.71,1990
"891",1453.01,15
"892",1453.01,115
"893",1453.01,165
"894",1453.01,265
"895",1453.01,315
"896",1453.01,415
"897",1453.01,465
"898",1453.01,565
"899",1453.01,615
"900",1453.01,715
"901",1453.01,765
"902",1453.01,865
"903",1453.01,915
"904",1453.01,1015
"905",1453.01,1065
"906",1453.01,1165
"907",1453.01,1215
"908",1453.01,1315
"909",1453.01,1365
"910",1453.01,1465
"911",1453.01,1515
"912",1453.01,1615
"913",1453.01,1665
"914",1453.01,1765
"915",1453.01,1815
"916",1453.01,1915
"917",1453.01,1965
"918",1496.31,40
"919",1496.31,90
"920",1496.31,190
"921",1496.31,240
"922",1496.31,340
"923",1496.31,390
"924",1496.31,490
"925",1496.31,540
"926",1496.31,640
"927",1496.31,690
"928",1496.31,790
"929",1496.31,840
"930",1496.31,940
"931",1496.31,990
"932",1496.31,1090
"933",1496.31,1140
"934",1496.31,1240
"935",1496.31,1290
"936",1496.31,1390
"937",1496.31,1440
"938",1496.31,1540
"939",1496.31,1590
"940",1496.31,1690
