x,y,node
-15.59,9.5,"(6, 18)"
-16.45,9.0,"(6, 19)"
-17.32,9.5,"(6, 20)"
-18.19,9.0,"(6, 21)"
-19.05,9.5,"(6, 22)"
-19.92,9.0,"(6, 23)"
-20.78,9.5,"(6, 24)"
-21.65,9.0,"(6, 25)"
-22.52,9.5,"(6, 26)"
-23.38,9.0,"(6, 27)"
-24.25,9.5,"(6, 28)"
-25.11,9.0,"(6, 29)"
-25.98,9.5,"(6, 30)"
-26.85,9.0,"(6, 31)"
-27.71,9.5,"(6, 32)"
-28.58,9.0,"(6, 33)"
-29.44,9.5,"(6, 34)"
-30.31,9.0,"(6, 35)"
-31.18,9.5,"(6, 36)"
-32.04,9.0,"(6, 37)"
-32.91,9.5,"(6, 38)"
-33.77,9.0,"(6, 39)"
-34.64,9.5,"(6, 40)"
-35.51,9.0,"(6, 41)"
-36.37,9.5,"(6, 42)"
-37.24,9.0,"(6, 43)"
-38.11,9.5,"(6, 44)"
-38.97,9.0,"(6, 45)"
0.0,10.5,"(7, 0)"
-0.87,11.0,"(7, 1)"
-1.73,10.5,"(7, 2)"
-2.6,11.0,"(7, 3)"
-3.46,10.5,"(7, 4)"
-4.33,11.0,"(7, 5)"
-5.2,10.5,"(7, 6)"
-6.06,11.0,"(7, 7)"
-6.93,10.5,"(7, 8)"
-7.79,11.0,"(7, 9)"
-8.66,10.5,"(7, 10)"
-9.53,11.0,"(7, 11)"
-10.39,10.5,"(7, 12)"
-11.26,11.0,"(7, 13)"
-12.12,10.5,"(7, 14)"
-12.99,11.0,"(7, 15)"
-13.86,10.5,"(7, 16)"
-14.72,11.0,"(7, 17)"
-15.59,10.5,"(7, 18)"
-16.45,11.0,"(7, 19)"
-17.32,10.5,"(7, 20)"
-18.19,11.0,"(7, 21)"
-19.05,10.5,"(7, 22)"
-19.92,11.0,"(7, 23)"
-20.78,10.5,"(7, 24)"
-21.65,11.0,"(7, 25)"
-22.52,10.5,"(7, 26)"
-23.38,11.0,"(7, 27)"
-24.25,10.5,"(7, 28)"
-25.11,11.0,"(7, 29)"
-25.98,10.5,"(7, 30)"
-26.85,11.0,"(7, 31)"
-27.71,10.5,"(7, 32)"
-28.58,11.0,"(7, 33)"
-29.44,10.5,"(7, 34)"
-30.31,11.0,"(7, 35)"
-31.18,10.5,"(7, 36)"
-32.04,11.0,"(7, 37)"
-32.91,10.5,"(7, 38)"
-33.77,11.0,"(7, 39)"
-34.64,10.5,"(7, 40)"
-35.51,11.0,"(7, 41)"
-36.37,10.5,"(7, 42)"
-37.24,11.0,"(7, 43)"
-38.11,10.5,"(7, 44)"
-38.97,11.0,"(7, 45)"
0.0,12.5,"(8, 0)"
-0.87,12.0,"(8, 1)"
-1.73,12.5,"(8, 2)"
-2.6,12.0,"(8, 3)"
-3.46,12.5,"(8, 4)"
-4.33,12.0,"(8, 5)"
-5.2,12.5,"(8, 6)"
-6.06,12.0,"(8, 7)"
-6.93,12.5,"(8, 8)"
-7.79,12.0,"(8, 9)"
-8.66,12.5,"(8, 10)"
-9.53,12.0,"(8, 11)"
